ONCELIK,CSV_SATIR,SKU,RISK_SINIFI,SEBEP,AKSIYON,ONERI,MEVCUT_BASLIK
B,23,"ART-0E1395-150X225C-WALNUTFR,ART-0E1395-150X225C-NATURALW,ART-0E1395-150X225C-WHITEFRA,ART-0E1395-150X225C-SILVERFR,ART-0E1395-150X225C-BLACKFRA,ART-0E1395-150X225C-GOLDFRAM,ART-0E1395-150X225C-STRETCHE,ART-0E1395-150X225C-ROLL,ART-0E1395-140X210C-WALNUTFR,ART-0E1395-140X210C-NATURALW,ART-0E1395-140X210C-WHITEFRA,ART-0E1395-140X210C-SILVERFR,ART-0E1395-140X210C-BLACKFRA,ART-0E1395-140X210C-GOLDFRAM,ART-0E1395-140X210C-STRETCHE,ART-0E1395-140X210C-ROLL,ART-0E1395-130X195C-WALNUTFR,ART-0E1395-130X195C-NATURALW,ART-0E1395-130X195C-WHITEFRA,ART-0E1395-130X195C-SILVERFR,ART-0E1395-130X195C-BLACKFRA,ART-0E1395-130X195C-GOLDFRAM,ART-0E1395-130X195C-STRETCHE,ART-0E1395-130X195C-ROLL,ART-0E1395-120X180C-WALNUTFR,ART-0E1395-120X180C-NATURALW,ART-0E1395-120X180C-WHITEFRA,ART-0E1395-120X180C-SILVERFR,ART-0E1395-120X180C-BLACKFRA,ART-0E1395-120X180C-GOLDFRAM,ART-0E1395-120X180C-STRETCHE,ART-0E1395-120X180C-ROLL,ART-0E1395-110X165C-WALNUTFR,ART-0E1395-110X165C-NATURALW,ART-0E1395-110X165C-WHITEFRA,ART-0E1395-110X165C-SILVERFR,ART-0E1395-110X165C-BLACKFRA,ART-0E1395-110X165C-GOLDFRAM,ART-0E1395-110X165C-STRETCHE,ART-0E1395-110X165C-ROLL,ART-0E1395-100X150C-WALNUTFR,ART-0E1395-100X150C-NATURALW,ART-0E1395-100X150C-WHITEFRA,ART-0E1395-100X150C-SILVERFR,ART-0E1395-100X150C-BLACKFRA,ART-0E1395-100X150C-GOLDFRAM,ART-0E1395-100X150C-STRETCHE,ART-0E1395-100X150C-ROLL,ART-0E1395-90X130CM-WALNUTFR,ART-0E1395-90X130CM-NATURALW,ART-0E1395-90X130CM-WHITEFRA,ART-0E1395-90X130CM-SILVERFR,ART-0E1395-90X130CM-BLACKFRA,ART-0E1395-90X130CM-GOLDFRAM,ART-0E1395-90X130CM-STRETCHE,ART-0E1395-90X130CM-ROLL,ART-0E1395-80X120CM-WALNUTFR,ART-0E1395-80X120CM-NATURALW,ART-0E1395-80X120CM-WHITEFRA,ART-0E1395-80X120CM-SILVERFR,ART-0E1395-80X120CM-BLACKFRA,ART-0E1395-80X120CM-GOLDFRAM,ART-0E1395-80X120CM-STRETCHE,ART-0E1395-80X120CM-ROLL,ART-0E1395-70X100CM-WALNUTFR,ART-0E1395-70X100CM-NATURALW,ART-0E1395-70X100CM-WHITEFRA,ART-0E1395-70X100CM-SILVERFR,ART-0E1395-70X100CM-BLACKFRA,ART-0E1395-70X100CM-GOLDFRAM,ART-0E1395-70X100CM-STRETCHE,ART-0E1395-70X100CM-ROLL,ART-0E1395-60X90CM2-WALNUTFR,ART-0E1395-60X90CM2-NATURALW,ART-0E1395-60X90CM2-WHITEFRA,ART-0E1395-60X90CM2-SILVERFR,ART-0E1395-60X90CM2-BLACKFRA,ART-0E1395-60X90CM2-GOLDFRAM,ART-0E1395-60X90CM2-STRETCHE,ART-0E1395-60X90CM2-ROLL,ART-0E1395-50X70CM2-WALNUTFR,ART-0E1395-50X70CM2-NATURALW,ART-0E1395-50X70CM2-WHITEFRA,ART-0E1395-50X70CM2-SILVERFR,ART-0E1395-50X70CM2-BLACKFRA,ART-0E1395-50X70CM2-GOLDFRAM,ART-0E1395-50X70CM2-STRETCHE,ART-0E1395-50X70CM2-ROLL,ART-0E1395-40X60CM1-WALNUTFR,ART-0E1395-40X60CM1-NATURALW,ART-0E1395-40X60CM1-WHITEFRA,ART-0E1395-40X60CM1-SILVERFR,ART-0E1395-40X60CM1-BLACKFRA,ART-0E1395-40X60CM1-GOLDFRAM,ART-0E1395-40X60CM1-STRETCHE,ART-0E1395-40X60CM1-ROLL,ART-0E1395-35X50CM1-WALNUTFR,ART-0E1395-35X50CM1-NATURALW,ART-0E1395-35X50CM1-WHITEFRA,ART-0E1395-35X50CM1-SILVERFR,ART-0E1395-35X50CM1-BLACKFRA,ART-0E1395-35X50CM1-GOLDFRAM,ART-0E1395-35X50CM1-STRETCHE,ART-0E1395-35X50CM1-ROLL,ART-0E1395-20X30CM8-WALNUTFR,ART-0E1395-20X30CM8-NATURALW,ART-0E1395-20X30CM8-WHITEFRA,ART-0E1395-20X30CM8-SILVERFR,ART-0E1395-20X30CM8-BLACKFRA,ART-0E1395-20X30CM8-GOLDFRAM,ART-0E1395-20X30CM8-STRETCHE,ART-0E1395-20X30CM8-ROLL",Yaptırımlı menşe,"""Persian"" — 31 Ağustos'ta kaldırılan listing ile aynı sınıf",YENİDEN YAZ,"""Persian Mosaic"" -> ""Moorish Mosaic"" / ""Islamic Geometric Mosaic""","Black Cat Full Moon Wall Art, Orientalist Cityscape Painting, Persian Mosaic Midnight Poster, Mystic Celestial Living Room Decor"
B,86,,Etkinlik markası,Le Mans (ACO) + Grand Prix,YENİDEN YAZ,"""Vintage Endurance Racing Poster, 1950s Classic Motorsport Art""","Le Mans 1955 Vintage Race Car Canvas, Classic Motorsport Wall Art, Retro Grand Prix Endurance Poster, Racing Car Canvas Decor"
B,87,,Etkinlik markası,Formula 1 (Formula One Licensing BV) + Grand Prix + Monza,YENİDEN YAZ,"""Retro Italian Racing Circuit Poster, 1970s Motorsport Art""","Monza 1971 Vintage F1 Poster, Retro Grand Prix Racing Car Art Print, Red Race Car Motorsport Canvas, Italian Racing Fan Gift"
B,262,,Etkinlik iması,Monaco + yıl = Monaco GP (Automobile Club de Monaco),YENİDEN YAZ,"""Riviera Retro Racing Canvas, 1960s Coastal Motorsport Art""","Monaco 1963 Vintage Racing Canvas Wall Art, Monte Carlo Retro Motorsport Poster, Classic Race Car Decor"
B,436,"ART-DB4178-270X1125-WALNUTFR,ART-DB4178-270X1125-NATURALW,ART-DB4178-270X1125-WHITEFRA,ART-DB4178-270X1125-SILVERFR,ART-DB4178-270X1125-BLACKFRA,ART-DB4178-270X1125-GOLDFRAM,ART-DB4178-270X1125-STRETCHE,ART-DB4178-270X1125-ROLL,ART-DB4178-250X104C-WALNUTFR,ART-DB4178-250X104C-NATURALW,ART-DB4178-250X104C-WHITEFRA,ART-DB4178-250X104C-SILVERFR,ART-DB4178-250X104C-BLACKFRA,ART-DB4178-250X104C-GOLDFRAM,ART-DB4178-250X104C-STRETCHE,ART-DB4178-250X104C-ROLL,ART-DB4178-235X98CM-WALNUTFR,ART-DB4178-235X98CM-NATURALW,ART-DB4178-235X98CM-WHITEFRA,ART-DB4178-235X98CM-SILVERFR,ART-DB4178-235X98CM-BLACKFRA,ART-DB4178-235X98CM-GOLDFRAM,ART-DB4178-235X98CM-STRETCHE,ART-DB4178-235X98CM-ROLL,ART-DB4178-215X90CM-WALNUTFR,ART-DB4178-215X90CM-NATURALW,ART-DB4178-215X90CM-WHITEFRA,ART-DB4178-215X90CM-SILVERFR,ART-DB4178-215X90CM-BLACKFRA,ART-DB4178-215X90CM-GOLDFRAM,ART-DB4178-215X90CM-STRETCHE,ART-DB4178-215X90CM-ROLL,ART-DB4178-200X83CM-WALNUTFR,ART-DB4178-200X83CM-NATURALW,ART-DB4178-200X83CM-WHITEFRA,ART-DB4178-200X83CM-SILVERFR,ART-DB4178-200X83CM-BLACKFRA,ART-DB4178-200X83CM-GOLDFRAM,ART-DB4178-200X83CM-STRETCHE,ART-DB4178-200X83CM-ROLL,ART-DB4178-180X75CM-WALNUTFR,ART-DB4178-180X75CM-NATURALW,ART-DB4178-180X75CM-WHITEFRA,ART-DB4178-180X75CM-SILVERFR,ART-DB4178-180X75CM-BLACKFRA,ART-DB4178-180X75CM-GOLDFRAM,ART-DB4178-180X75CM-STRETCHE,ART-DB4178-180X75CM-ROLL,ART-DB4178-170X71CM-WALNUTFR,ART-DB4178-170X71CM-NATURALW,ART-DB4178-170X71CM-WHITEFRA,ART-DB4178-170X71CM-SILVERFR,ART-DB4178-170X71CM-BLACKFRA,ART-DB4178-170X71CM-GOLDFRAM,ART-DB4178-170X71CM-STRETCHE,ART-DB4178-170X71CM-ROLL,ART-DB4178-150X625C-WALNUTFR,ART-DB4178-150X625C-NATURALW,ART-DB4178-150X625C-WHITEFRA,ART-DB4178-150X625C-SILVERFR,ART-DB4178-150X625C-BLACKFRA,ART-DB4178-150X625C-GOLDFRAM,ART-DB4178-150X625C-STRETCHE,ART-DB4178-150X625C-ROLL,ART-DB4178-130X54CM-WALNUTFR,ART-DB4178-130X54CM-NATURALW,ART-DB4178-130X54CM-WHITEFRA,ART-DB4178-130X54CM-SILVERFR,ART-DB4178-130X54CM-BLACKFRA,ART-DB4178-130X54CM-GOLDFRAM,ART-DB4178-130X54CM-STRETCHE,ART-DB4178-130X54CM-ROLL,ART-DB4178-110X46CM-WALNUTFR,ART-DB4178-110X46CM-NATURALW,ART-DB4178-110X46CM-WHITEFRA,ART-DB4178-110X46CM-SILVERFR,ART-DB4178-110X46CM-BLACKFRA,ART-DB4178-110X46CM-GOLDFRAM,ART-DB4178-110X46CM-STRETCHE,ART-DB4178-110X46CM-ROLL,ART-DB4178-90X375CM-WALNUTFR,ART-DB4178-90X375CM-NATURALW,ART-DB4178-90X375CM-WHITEFRA,ART-DB4178-90X375CM-SILVERFR,ART-DB4178-90X375CM-BLACKFRA,ART-DB4178-90X375CM-GOLDFRAM,ART-DB4178-90X375CM-STRETCHE,ART-DB4178-90X375CM-ROLL,ART-DB4178-70X29CM2-WALNUTFR,ART-DB4178-70X29CM2-NATURALW,ART-DB4178-70X29CM2-WHITEFRA,ART-DB4178-70X29CM2-SILVERFR,ART-DB4178-70X29CM2-BLACKFRA,ART-DB4178-70X29CM2-GOLDFRAM,ART-DB4178-70X29CM2-STRETCHE,ART-DB4178-70X29CM2-ROLL,ART-DB4178-60X25CM2-WALNUTFR,ART-DB4178-60X25CM2-NATURALW,ART-DB4178-60X25CM2-WHITEFRA,ART-DB4178-60X25CM2-SILVERFR,ART-DB4178-60X25CM2-BLACKFRA,ART-DB4178-60X25CM2-GOLDFRAM,ART-DB4178-60X25CM2-STRETCHE,ART-DB4178-60X25CM2-ROLL,ART-DB4178-40X17CM1-WALNUTFR,ART-DB4178-40X17CM1-NATURALW,ART-DB4178-40X17CM1-WHITEFRA,ART-DB4178-40X17CM1-SILVERFR,ART-DB4178-40X17CM1-BLACKFRA,ART-DB4178-40X17CM1-GOLDFRAM,ART-DB4178-40X17CM1-STRETCHE,ART-DB4178-40X17CM1-ROLL",Yaptırımlı menşe,"""Persian Gardens"" — aynı filtre",YENİDEN YAZ,"""Hanging Gardens of Babylon"" yeterli, Persian kelimesini at","Hanging Persian Gardens Waterfall Poster, Vintage Art Deco Oasis Print, Ancient Babylonian Palace Wall Art, Retro Travel Canvas"
B,589,,Etkinlik markası,Formula 1 + Nurburgring,YENİDEN YAZ,"""Retro German Racing Circuit Poster, The Green Hell Motorsport Art""","Nurburgring 1968 Vintage F1 Poster, The Green Hell Retro Racing Print, Formula 1 Wall Art, Motorsport Gift"
B,593,,Etkinlik + stadyum,Maracana + 1950 = World Cup iması,YENİDEN YAZ,"""Retro Brazilian Football Stadium Poster, Rio Soccer Wall Art""","Maracana Stadium Vintage Poster, Rio de Janeiro 1950 Retro Football Print, Brazil Soccer Wall Art, Stadium Decor"
B,640,,Resmî etkinlik markası,"""America 250"" — US Semiquincentennial Commission markası, Amazon'da listingler kaldırılıyor",YENİDEN YAZ,"""America 250"" ifadesini at, ""1776-2026"" ve ""250th Anniversary"" kalsın","America 250 Canvas Wall Art, Patriotic Western Cowboy Decor, 1776-2026 Anniversary Canvas, Freedom Heritage Wall Art, Rustic Sunset"
B,642,,Resmî etkinlik markası,"""America 250"" — aynı",YENİDEN YAZ,"""250 Years of Independence"" / ""Semiquincentennial"" kullan","America 250 Canvas Wall Art, Patriotic Independence Day Decoration, USA Flag Stars Stripes Vintage Style, 1776 to 2026 Anniversary Print"
B,643,,Resmî etkinlik markası,"""America 250th Anniversary"" — aynı",YENİDEN YAZ,"""America's 250th Anniversary"" tanımlayıcı hâli daha güvenli","America 250th Anniversary Canvas Wall Art, Patriotic Eagle Design, 1776-2026 Celebration Canvas, Independence Day Decor, USA Vintage Style"
B,644,,Resmî etkinlik markası,"""America 250 Years"" — aynı",YENİDEN YAZ,"""1776 to 2026 USA Celebration"" yeterli, ""America 250"" bloğunu at","Patriotic America 250 Years Canvas, Bald Eagle Wall Art, 1776 to 2026 USA Celebration Canvas, Vintage Flag Print, Home Decoration"
B,647,,Resmî etkinlik markası,"""America 250 Years of Freedom"" — aynı",YENİDEN YAZ,"""250 Years of Freedom 1776-2026""","America 250 Years of Freedom Canvas Wall Art, Patriotic Eagle Print, 1776-2026 Vintage Flag Decor, Independence Day Celebration Canvas,"
B,648,,Resmî etkinlik markası,"""America 250"" — aynı",YENİDEN YAZ,"""1776-2026 Freedom Anniversary"" kalsın, ""America 250"" gitsin","America 250 Canvas Wall Art, Patriotic Bald Eagle Print, 1776-2026 Freedom Anniversary, USA Flag Colors, Historic Celebration Canvas"
B,671,,Yaptırımlı menşe,Havana + Cuban — yaptırım taraması,YENİDEN YAZ,"""Tropical Colonial Street Scene, Caribbean Classic Cars Wall Art""","Vintage Havana Street Scene Canvas, Classic Cars Wall Art, Cuban Architecture Print, Coastal Cityscape Canvas, Retro Travel Decor, Home"
B,899,,Bina markası,Empire State Realty Trust bina adı/görseli için merch davası açıyor,YENİDEN YAZ,"""Art Deco Skyscraper Canvas, Vintage New York 1930s Skyline""","Empire State Building Canvas Wall Art, Vintage New York 1931, Art Deco Skyline Poster, Retro Urban Canvas, Historic Landmark Wall Decoration"
B,900,,Etkinlik markası,"Tour de France (ASO) — ""La Grande Boucle"" de onların",YENİDEN YAZ,"""Vintage Alpine Cycling Race Canvas, Retro Mountain Bike Art""","Vintage Tour de France 1948 Cycling Canvas, Mountain Road Bike Wall Art, Retro Sports Decor, La Grande Boucle Poster Canvas, Bike Lover Gift"
B,901,,Etkinlik adı,"""World's Fair"" + 1939 New York fuar markaları",YENİDEN YAZ,"""Retro Futurist Exposition Poster, 1930s World of Tomorrow Art""","New York World's Fair 1939 Canvas Wall Art, Vintage 20th Century Expo Poster, Retro Cityscape Decor, The World of Tomorrow Art Print"
C,172,"ART-9AE32F-150X225C-WALNUTFR,ART-9AE32F-150X225C-NATURALW,ART-9AE32F-150X225C-WHITEFRA,ART-9AE32F-150X225C-SILVERFR,ART-9AE32F-150X225C-BLACKFRA,ART-9AE32F-150X225C-GOLDFRAM,ART-9AE32F-150X225C-STRETCHE,ART-9AE32F-150X225C-ROLL,ART-9AE32F-140X210C-WALNUTFR,ART-9AE32F-140X210C-NATURALW,ART-9AE32F-140X210C-WHITEFRA,ART-9AE32F-140X210C-SILVERFR,ART-9AE32F-140X210C-BLACKFRA,ART-9AE32F-140X210C-GOLDFRAM,ART-9AE32F-140X210C-STRETCHE,ART-9AE32F-140X210C-ROLL,ART-9AE32F-130X195C-WALNUTFR,ART-9AE32F-130X195C-NATURALW,ART-9AE32F-130X195C-WHITEFRA,ART-9AE32F-130X195C-SILVERFR,ART-9AE32F-130X195C-BLACKFRA,ART-9AE32F-130X195C-GOLDFRAM,ART-9AE32F-130X195C-STRETCHE,ART-9AE32F-130X195C-ROLL,ART-9AE32F-120X180C-WALNUTFR,ART-9AE32F-120X180C-NATURALW,ART-9AE32F-120X180C-WHITEFRA,ART-9AE32F-120X180C-SILVERFR,ART-9AE32F-120X180C-BLACKFRA,ART-9AE32F-120X180C-GOLDFRAM,ART-9AE32F-120X180C-STRETCHE,ART-9AE32F-120X180C-ROLL,ART-9AE32F-110X165C-WALNUTFR,ART-9AE32F-110X165C-NATURALW,ART-9AE32F-110X165C-WHITEFRA,ART-9AE32F-110X165C-SILVERFR,ART-9AE32F-110X165C-BLACKFRA,ART-9AE32F-110X165C-GOLDFRAM,ART-9AE32F-110X165C-STRETCHE,ART-9AE32F-110X165C-ROLL,ART-9AE32F-100X150C-WALNUTFR,ART-9AE32F-100X150C-NATURALW,ART-9AE32F-100X150C-WHITEFRA,ART-9AE32F-100X150C-SILVERFR,ART-9AE32F-100X150C-BLACKFRA,ART-9AE32F-100X150C-GOLDFRAM,ART-9AE32F-100X150C-STRETCHE,ART-9AE32F-100X150C-ROLL,ART-9AE32F-90X130CM-WALNUTFR,ART-9AE32F-90X130CM-NATURALW,ART-9AE32F-90X130CM-WHITEFRA,ART-9AE32F-90X130CM-SILVERFR,ART-9AE32F-90X130CM-BLACKFRA,ART-9AE32F-90X130CM-GOLDFRAM,ART-9AE32F-90X130CM-STRETCHE,ART-9AE32F-90X130CM-ROLL,ART-9AE32F-80X120CM-WALNUTFR,ART-9AE32F-80X120CM-NATURALW,ART-9AE32F-80X120CM-WHITEFRA,ART-9AE32F-80X120CM-SILVERFR,ART-9AE32F-80X120CM-BLACKFRA,ART-9AE32F-80X120CM-GOLDFRAM,ART-9AE32F-80X120CM-STRETCHE,ART-9AE32F-80X120CM-ROLL,ART-9AE32F-70X100CM-WALNUTFR,ART-9AE32F-70X100CM-NATURALW,ART-9AE32F-70X100CM-WHITEFRA,ART-9AE32F-70X100CM-SILVERFR,ART-9AE32F-70X100CM-BLACKFRA,ART-9AE32F-70X100CM-GOLDFRAM,ART-9AE32F-70X100CM-STRETCHE,ART-9AE32F-70X100CM-ROLL,ART-9AE32F-60X90CM2-WALNUTFR,ART-9AE32F-60X90CM2-NATURALW,ART-9AE32F-60X90CM2-WHITEFRA,ART-9AE32F-60X90CM2-SILVERFR,ART-9AE32F-60X90CM2-BLACKFRA,ART-9AE32F-60X90CM2-GOLDFRAM,ART-9AE32F-60X90CM2-STRETCHE,ART-9AE32F-60X90CM2-ROLL,ART-9AE32F-50X70CM2-WALNUTFR,ART-9AE32F-50X70CM2-NATURALW,ART-9AE32F-50X70CM2-WHITEFRA,ART-9AE32F-50X70CM2-SILVERFR,ART-9AE32F-50X70CM2-BLACKFRA,ART-9AE32F-50X70CM2-GOLDFRAM,ART-9AE32F-50X70CM2-STRETCHE,ART-9AE32F-50X70CM2-ROLL,ART-9AE32F-40X60CM1-WALNUTFR,ART-9AE32F-40X60CM1-NATURALW,ART-9AE32F-40X60CM1-WHITEFRA,ART-9AE32F-40X60CM1-SILVERFR,ART-9AE32F-40X60CM1-BLACKFRA,ART-9AE32F-40X60CM1-GOLDFRAM,ART-9AE32F-40X60CM1-STRETCHE,ART-9AE32F-40X60CM1-ROLL,ART-9AE32F-35X50CM1-WALNUTFR,ART-9AE32F-35X50CM1-NATURALW,ART-9AE32F-35X50CM1-WHITEFRA,ART-9AE32F-35X50CM1-SILVERFR,ART-9AE32F-35X50CM1-BLACKFRA,ART-9AE32F-35X50CM1-GOLDFRAM,ART-9AE32F-35X50CM1-STRETCHE,ART-9AE32F-35X50CM1-ROLL,ART-9AE32F-20X30CM8-WALNUTFR,ART-9AE32F-20X30CM8-NATURALW,ART-9AE32F-20X30CM8-WHITEFRA,ART-9AE32F-20X30CM8-SILVERFR,ART-9AE32F-20X30CM8-BLACKFRA,ART-9AE32F-20X30CM8-GOLDFRAM,ART-9AE32F-20X30CM8-STRETCHE,ART-9AE32F-20X30CM8-ROLL",Düşük,"Tarihsel olay, hak sahibi yok",BIRAK,,Vintage War Poster – 1940 Britain Air Raid Scene
C,595,,Düşük,"Jenerik boks afişi, marka adı yok",BIRAK,,"1930s Boxing Championship Poster, Chicago 1937 Vintage Fight Art, Art Deco Sports Print, Retro Boxing Wall Decor"
C,596,,Düşük,"Jenerik boks afişi, isim yok",BIRAK,,"Heavyweight Championship Print, Las Vegas 1980 Vintage Boxing Poster, Retro Fight Wall Art, Boxing Fan Gift"
C,895,,Düşük,Tarihsel olay,BIRAK,,"Cold War Ends 1991 Canvas, USA Eagle vs Soviet Bear Wall Art, Historical War Poster, Military Conflict Canvas, Vintage Political Art"
C,896,,Düşük,Tarihsel olay,BIRAK,,"Berlin Wall Fall 1989 Canvas, Unity and Freedom Wall Art, Historic German Reunification Poster, Inspirational Home Decoration"
C,898,,Düşük,Tarihsel olay,BIRAK,,"The War Is Over November 1918, Vintage Soldier Welcome Home Canvas, World War I Commemorative Wall Art, Patriotic Historical Canvas"
C,902,,Düşük,NASA görselleri kamu malı,BIRAK,,"Apollo XI Moon Landing Canvas Wall Art, Vintage Astronaut Print, July 1969 Space Exploration, American Flag on Moon, One Small Step Poster"
